title,path,crate,bpm,brightness,energy,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
HUGEL-David-Guetta-Kehlani-Daecolm-Think-Of-Me-120-3B,/Users/rohan/Downloads/Music/HUGEL-David-Guetta-Kehlani-Daecolm-Think-Of-Me-120-3B.mp3,Reception Dancefloor%%Rap,120.18531976744185,3042.823187727829,0.3754977285861969,-105.57913970947266,119.3204574584961,16.225296020507812,40.451656341552734,2.234468460083008,30.911876678466797,-3.3498213291168213,17.55409812927246,3.9070255756378174,10.374054908752441,5.15985107421875,12.450554847717285,0.29431408643722534
HUGEL-SOLTO-FR-Jamaican-Bam-Bam-ATCG-Edit-128-8A,/Users/rohan/Downloads/Music/HUGEL-SOLTO-FR-Jamaican-Bam-Bam-ATCG-Edit-128-8A.mp3,Reception Dancefloor%%Rap,129.19921875,3959.527675750822,0.3489583432674408,-74.42057800292969,91.70708465576172,-8.792850494384766,45.701602935791016,-1.2859429121017456,31.296302795410156,2.3926892280578613,21.408342361450195,3.7987048625946045,10.192724227905273,-0.4614151120185852,11.764566421508789,0.6478633284568787
Sister-Nancy-Bam-Bam-Federico-Bolletta-5HOURS-Remix-124-8A,/Users/rohan/Downloads/Music/Sister-Nancy-Bam-Bam-Federico-Bolletta-5HOURS-Remix-124-8A.mp3,Reception Dancefloor%%Rap,166.70866935483872,2946.4046810386935,0.28413429856300354,-126.52446746826172,119.6303482055664,-23.9075927734375,31.34966468811035,-4.9136061668396,23.421142578125,-3.2142603397369385,21.700286865234375,0.6424275040626526,2.1078312397003174,0.5947908759117126,17.004758834838867,2.329275369644165
J-Balvin-Willy-William-Mi-Gente-ATGC-Remix-122-9A,/Users/rohan/Downloads/Music/J-Balvin-Willy-William-Mi-Gente-ATGC-Remix-122-9A.mp3,Reception Dancefloor%%Rap,123.046875,3481.171124780515,0.339811772108078,-68.1270751953125,107.47339630126953,-19.98858642578125,40.04497528076172,-9.77612018585205,28.732044219970703,-10.118879318237305,11.249847412109375,0.7054290175437927,5.874274253845215,-5.4383649826049805,9.437417030334473,2.1611721515655518
Tyla - Water (CK Intro - Clean) 3A 117,/Users/rohan/Downloads/Music/Tyla - Water (CK Intro - Clean) 3A 117.mp3,Reception Dancefloor%%Rap,117.45383522727273,2791.6169614329283,0.36017897725105286,-97.13338470458984,127.45783996582031,-5.748589038848877,49.42152786254883,-14.254737854003906,27.86056900024414,-13.161520004272461,17.467954635620117,-2.499316692352295,0.2864338755607605,9.231558799743652,3.450155735015869,-3.76562762260437
Teejay-Davido-Drift-Remix-Intro-Clean-100-7A,/Users/rohan/Downloads/Music/Teejay-Davido-Drift-Remix-Intro-Clean-100-7A.mp3,Reception Dancefloor%%Rap,99.38401442307692,2184.1207218506165,0.22056418657302856,-201.82296752929688,139.75839233398438,10.046184539794922,34.818546295166016,-14.006484985351562,14.581496238708496,-7.123271942138672,3.8731064796447754,-8.875118255615234,-4.237932205200195,-8.02637004852295,-4.0240960121154785,-8.354388236999512
WizTheMc-bees-honey-Take-My-Mind-Radio-Edit-114-2A,/Users/rohan/Downloads/Music/WizTheMc-bees-honey-Take-My-Mind-Radio-Edit-114-2A.mp3,Reception Dancefloor%%Rap,114.84375,2412.0970079920726,0.33871397376060486,-97.7862777709961,144.7371826171875,-11.225839614868164,31.963302612304688,-12.678876876831055,20.07977867126465,-13.88801383972168,9.196374893188477,-4.754231929779053,1.1502938270568848,-1.7663713693618774,8.838277816772461,1.5005806684494019
Burna-Boy-Dont-Let-Me-Drown-113-12B,/Users/rohan/Downloads/Music/Burna-Boy-Dont-Let-Me-Drown-113-12B.mp3,Reception Dancefloor%%Rap,112.34714673913044,3226.8634747819515,0.27463942766189575,-108.107177734375,115.0807113647461,2.458228588104248,36.350372314453125,-2.9637703895568848,26.01840591430664,6.278223037719727,11.820605278015137,3.584240674972534,10.228787422180176,3.8327455520629883,4.3439040184021,4.073461055755615
Nicki-Minaj-FTCU-Booty-Patrol-Remix-Dirty-140-2A,/Users/rohan/Downloads/Music/Nicki-Minaj-FTCU-Booty-Patrol-Remix-Dirty-140-2A.mp3,Reception Dancefloor%%Rap,69.83741554054055,3047.5519899927535,0.21074192225933075,-162.03244018554688,115.19175720214844,-29.719762802124023,31.682048797607422,-1.7828127145767212,18.22039794921875,-3.3380367755889893,21.565216064453125,-0.3409653902053833,13.503591537475586,2.1385090351104736,3.725099563598633,0.9139105081558228
The Weeknd - The Hills - Diego Druck Remix (Dirty),/Users/rohan/Downloads/Music/The Weeknd - The Hills - Diego Druck Remix (Dirty).mp3,Reception Dancefloor%%Rap,120.18531976744185,2362.454958501921,0.19843915104866028,-118.9177017211914,160.23095703125,-26.584882736206055,17.93758773803711,-18.749784469604492,5.648545742034912,-13.231103897094727,-3.6191904544830322,-6.9571099281311035,-14.627593994140625,-14.59432315826416,-9.695124626159668,-5.811966896057129
Jack-Harlow-Lovin-On-Me-Hiram-Edit-Dirty-113-6A,/Users/rohan/Downloads/Music/Jack-Harlow-Lovin-On-Me-Hiram-Edit-Dirty-113-6A.mp3,Reception Dancefloor%%Rap,112.34714673913044,3186.5779494348117,0.31759288907051086,-83.9200210571289,121.82855987548828,-9.944328308105469,44.68702697753906,-7.949775218963623,38.49137878417969,-6.038549423217773,18.444171905517578,-3.86122465133667,5.853951930999756,-6.8334550857543945,3.902104616165161,-5.752470016479492
Justin-Bieber-YUKON-DJU-DJU-Remix-102-11A,/Users/rohan/Downloads/Music/Justin-Bieber-YUKON-DJU-DJU-Remix-102-11A.mp3,Reception Dancefloor%%Rap,101.33272058823529,2689.2704795458967,0.23278610408306122,-186.02154541015625,119.72000885009766,17.29720115661621,38.4218635559082,-2.9776313304901123,24.095426559448242,5.5181074142456055,6.509573459625244,-1.4838155508041382,1.9707767963409424,-4.427680015563965,1.4562742710113525,-0.01816381700336933
Tesher - Mi Gente x Badtameez Dil,/Users/rohan/Downloads/Music/Tesher - Mi Gente x Badtameez Dil.mp3,Reception Dancefloor%%Rap,139.6748310810811,3549.041174579604,0.2057591676712036,-114.16602325439453,105.59782409667969,-35.14695739746094,40.434505462646484,-16.492582321166992,31.40127944946289,-18.896764755249023,9.361305236816406,-5.667233943939209,2.782451868057251,-8.371801376342773,2.266878604888916,2.7176854610443115
Rihanna-Pour-It-Up-Kira-Edit-Clean-135-11A,/Users/rohan/Downloads/Music/Rihanna-Pour-It-Up-Kira-Edit-Clean-135-11A.mp3,Reception Dancefloor%%Rap,135.99917763157896,3154.596239875114,0.33447501063346863,-100.11939239501953,115.3385009765625,-9.497170448303223,58.00061798095703,-6.4990620613098145,29.692304611206055,-2.566237688064575,26.897207260131836,0.9303826689720154,8.707230567932129,15.409025192260742,4.4499382972717285,6.252225399017334
El-Alfa-4K-QURE-Edit-Dirty-122-2A,/Users/rohan/Downloads/Music/El-Alfa-4K-QURE-Edit-Dirty-122-2A.mp3,Reception Dancefloor%%Rap,123.046875,2720.4946178670584,0.16226625442504883,-137.32797241210938,136.20484924316406,-61.953731536865234,6.892237186431885,-23.68842315673828,1.921696424484253,-14.881013870239258,6.638838768005371,-4.453794956207275,-5.3915114402771,-0.7184210419654846,-3.9072859287261963,-1.8762081861495972
Don-Toliver-FWU-RED-SIP-Remix-Dirty-132-5A,/Users/rohan/Downloads/Music/Don-Toliver-FWU-RED-SIP-Remix-Dirty-132-5A.mp3,Reception Dancefloor%%Rap,132.51201923076923,4170.294292881604,0.33826780319213867,-82.1670150756836,86.63282012939453,-2.2367680072784424,33.12028503417969,-3.188707113265991,26.982681274414062,1.057805061340332,19.727624893188477,7.397821426391602,14.402563095092773,6.4237799644470215,10.089227676391602,6.986114025115967
Pasoori_320(PagalWorld.com.sb),/Users/rohan/Downloads/Music/Pasoori_320(PagalWorld.com.sb).mp3,Reception Dancefloor%%Rap,92.28515625,3946.8093153038567,0.22177152335643768,-132.6902313232422,103.6904296875,-9.166912078857422,30.328857421875,-27.414140701293945,26.70620346069336,-26.011699676513672,14.152880668640137,-9.54347038269043,1.8465288877487183,-15.433761596679688,17.30801773071289,-5.763878345489502
